gene_id,NC-1_FPKM,NC-2_FPKM,NC-3_FPKM,si-hnrnpa2b1-1_FPKM,si-hnrnpa2b1-2_FPKM,si-hnrnpa2b1-3_FPKM,NC-1_count,NC-2_count,NC-3_count,si-hnrnpa2b1-1_count,si-hnrnpa2b1-2_count,si-hnrnpa2b1-3_count
ENSRNOG00000018785,7.32638294,7.700905729,8.691745811,7.248508292,7.322435096,8.757892435,196,196,244,210,205,245
ENSRNOG00000038883,38.89390556,36.44538164,42.95529746,40.52879616,37.66032792,39.17181286,1806,1610,2093,2038,1830,1902
ENSRNOG00000038881,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000001890,3.213343878,3.204403761,3.00991474,2.333223427,2.913166563,2.232491015,117,111,115,92,111,85
ENSRNOG00000001891,0.780263037,0.444238546,0.24784544,0.630443486,0.403852654,0.528539213,24,13,8,21,13,17
ENSRNOG00000001892,0.07671022,0.040306612,0.109617422,0.035400486,0.036636742,0.110006734,2,1,3,1,1,3
ENSRNOG00000058620,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000019780,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000019785,12.0257572,10.54719628,10.56000954,11.55268951,12.36995643,12.59912774,471,393,434,490,507,516
ENSRNOG00000019789,0.155069326,0.163013295,0,0.143217859,0.049390375,0.09888378,3,3,0,3,1,2
ENSRNOG00000046407,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000046404,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000046405,0.02924321,0.338042092,0.055735795,0.026990507,0.167626069,0.027948381,1,11,2,1,6,1
ENSRNOG00000046403,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000002602,0.583463953,0.255532346,0.579196012,0.314288072,0.441398196,0.139482223,24,10,25,14,19,6
ENSRNOG00000046401,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000002609,4.016936062,4.794061558,3.748310759,5.100276177,4.898111337,5.362011201,192,218,188,264,245,268
ENSRNOG00000019439,77.18380831,72.48662302,70.52371795,84.02270728,75.83116925,82.26859588,995,889,954,1173,1023,1109
ENSRNOG00000019438,10.03695166,10.46649575,10.17111959,8.680949515,9.268296948,9.560451032,505,501,537,473,488,503
ENSRNOG00000006388,23.62867205,22.13471722,18.91388084,17.36849737,18.28064341,19.31092074,956,852,803,761,774,817
ENSRNOG00000019433,6.513631989,8.585472782,6.010341476,7.160473892,4.692965868,6.822345351,126,158,122,150,95,138
ENSRNOG00000006384,60.78440062,68.47633091,51.91828429,38.26151216,45.95999123,44.62988314,1533,1643,1374,1045,1213,1177
ENSRNOG00000019430,0,0,0,0,0,0.042525585,0,0,0,0,0,1
ENSRNOG00000006380,74.51469428,73.93958121,76.79996061,69.66791213,72.17256324,70.60089446,3680,3474,3980,3726,3730,3646
ENSRNOG00000019435,0.177525755,0.037319074,0.050746273,0.098361754,0.067859225,0.101853003,10,2,3,6,4,6
ENSRNOG00000019434,2.497456988,1.921978548,2.061286,2.265012931,1.363737135,1.599341249,112,82,97,110,64,75
ENSRNOG00000044930,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000044937,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000008570,0,0.021690967,0,0,0,0,0,1,0,0,0,0
ENSRNOG00000007387,13.05309118,15.23461583,14.68276835,14.40566493,14.01781421,14.66690241,743,825,877,888,835,873
ENSRNOG00000008572,3.628836558,2.947448617,3.69396786,3.465148275,2.71895335,2.721028175,88,68,94,91,69,69
ENSRNOG00000000768,0,0.053027493,0,0.04657298,0,0,0,1,0,1,0,0
